Frame Roll Pitch Yaw
595 -1.69174 -4.00799 17.3326
596 -1.06054 -5.60702 18.3044
597 -1.33183 -5.07563 17.7137
598 -1.31064 -5.22397 18.4766
599 -0.867201 -3.76272 19.178
600 -0.640805 -4.6489 18.5551
601 -0.822818 -5.5271 15.4197
602 -0.367861 -5.25293 18.141
603 -1.40052 -5.4726 17.5972
604 -0.76179 -5.70942 18.2113
605 0.00659712 -4.97822 18.5353
606 -0.718732 -4.93267 17.8542
607 -0.451627 -6.58304 16.9525
608 -0.859756 -6.2991 18.0265
609 -0.665629 -4.62251 17.4576
610 0.0253629 -5.93702 17.6247
611 -0.354888 -6.21979 19.1839
612 0.609 -6.00288 16.0719
613 1.49823 -5.63298 11.1164
614 3.90662 -0.764207 -10.7516
615 1.01397 -0.540492 -23.6199
616 1.45525 0.138997 -13.775
617 0.29812 0.147036 -26.5684
618 1.21809 -0.130038 -30.5691
619 2.90796 -2.51061 -0.676361
620 1.94084 -3.36361 -4.73377
621 1.40505 -3.00634 -6.29635
622 1.8772 -2.62358 -5.1114
623 1.98418 -2.0471 -6.89229
624 1.74855 -2.82082 -8.02948
625 1.52588 -2.72797 -8.7293
626 1.41831 -2.76172 -9.90639
627 1.74624 -3.03031 -12.3481
628 1.38649 -3.45386 -18.8224
629 1.65698 -2.50355 -17.1566
630 1.35056 -3.75767 -21.4946
631 0.56414 -3.2829 -18.2577
632 0.811749 -4.00866 -18.366
633 -0.392053 -4.42927 -17.4818
634 0.731576 -4.68977 -12.5806
635 -0.831384 -5.87203 -7.80262
636 1.1598 -4.99385 -7.1038
637 -0.734736 -4.48309 -6.88797
638 0.301379 -3.73605 -6.83248
639 1.6085 -4.84828 -7.56207
640 1.344 -3.90834 -6.37048
641 1.75998 -3.93283 -6.68345
642 0.650654 -4.56253 -6.24888
643 1.33898 -4.72339 -1.45159
644 0.0403324 -4.35426 -6.00908
645 -0.206685 -4.65123 -6.62433
646 0.0757602 -5.36699 -4.82456
647 -0.783305 -4.07878 -8.29279
648 1.59885 -4.37134 -5.12835
649 0.477753 -4.50472 -8.30144
650 0.975958 -3.59867 -6.58676
651 -0.736905 -3.76516 -3.61907
652 1.10237 -3.32443 -6.4998
653 1.35297 -3.56466 -7.28597
654 -0.82942 -3.25022 -5.74624
655 0.324274 -4.54226 -6.42992
656 -1.83264 -4.93572 -8.15286
657 -0.511084 -4.08941 -7.74285
658 -0.566586 -3.97163 -8.30872
659 -0.431358 -4.66532 -7.49261
660 -0.711932 -4.24212 -7.4898
661 1.78694 -7.03649 -2.366
662 0.278223 -6.61154 -0.926897
663 -0.349968 -5.35098 -8.11832
664 1.04223 -4.697 -3.52483
665 0.204797 -5.09492 -9.42399
666 -0.477894 -5.71059 -7.63946
667 -0.401706 -5.80019 -6.95264
668 -0.930405 -5.88106 -6.97406
669 -1.4351 -4.69287 -7.24264
670 -0.732161 -5.60598 -5.52462
671 -0.270347 -6.34977 -9.09273
672 0.0752093 -5.12275 -6.44894
673 0.238396 -6.0448 -7.4653
674 -0.680258 -3.56079 -7.90726
675 0.216102 -3.86501 -7.01288
676 0.0826665 -5.54655 -1.12059
677 -1.42211 -6.4743 -6.20303
678 2.10065 -5.08628 0.783598
679 2.4746 -5.67681 -0.359951
680 -0.111719 -5.68463 -6.89302
681 -0.625655 -6.27233 -7.77325
682 0.122794 -5.1456 -7.81101
683 0.136302 -5.78547 -8.99893
684 0.0701277 -5.68922 -2.03591
685 -0.685406 -6.19232 -7.65193
686 1.27681 -4.63235 -0.35298
687 1.2255 -4.68773 0.878278
688 0.387935 -6.09212 -5.81377
689 1.96159 -4.63101 -0.168168
690 1.2763 -4.46297 2.04755
691 0.980348 -4.23309 2.24614
692 -1.09373 -4.72376 3.26344
693 0.429423 -5.39221 -6.15355
694 -1.5391 -5.52387 2.54071
695 1.14896 -3.50349 -3.88979
696 0.861823 -4.37583 -4.06278
697 0.0649488 -5.76788 5.83685
698 0.60684 -5.6196 3.70866
699 0.465289 -4.91162 -5.24847
700 1.12579 -5.01725 4.50893
701 0.955497 -4.83584 -6.03946
702 1.27889 -4.67858 -23.6646
703 1.47126 -4.99655 -27.247
704 1.54576 -5.56365 -24.9918
705 0.990502 -5.35237 -25.8804
706 0.905351 -5.45046 -25.1977
707 0.693789 -5.25756 -24.9415
708 1.8033 -5.25121 -22.5277
709 2.0751 -5.42071 -21.782
710 1.01515 -4.61926 -17.8045
711 1.85946 -5.84671 -13.7613
712 1.79485 -4.85069 -9.62055
713 1.04961 -4.00548 -0.482982
714 0.649688 -5.09191 -1.46694
715 0.0961671 -4.79235 3.90027
716 1.51057 -6.82386 6.25987
717 1.46451 -6.8709 13.9814
718 0.827101 -6.79824 18.1129
719 0.513072 -4.341 3.52633
720 0.169354 -6.9554 21.0524
721 0.10837 -4.97822 7.927
722 0.177944 -3.21411 7.33461
723 0.168652 -4.71233 7.80163
724 -0.749341 -5.1492 6.30974
725 2.90609 -4.72332 0.538867
726 2.58452 -5.37645 0.240012
727 3.38074 -4.22068 0.299677
728 2.38322 -4.46607 2.11291
729 1.85491 -4.76052 3.50866
730 2.35771 -4.00632 4.03543
731 3.93012 -4.06544 2.00544
732 3.10812 -5.00823 4.74229
733 3.07257 -4.90646 5.26981
734 2.5818 -5.5308 4.21657
735 2.53472 -5.4406 5.58029
736 -2.6331 -8.36563 8.93125
737 1.78285 -5.3795 6.18998
738 -1.75183 -9.56818 14.4352
739 3.03186 -5.51871 6.12925
740 1.5965 -5.30439 5.16853
741 3.53235 -5.3523 5.58749
742 2.39608 -6.28877 5.3146
743 2.78331 -5.70188 5.39488
744 2.10468 -5.22891 6.81898
745 2.63395 -5.79311 4.73511
746 2.41618 -5.35987 4.18353
747 2.94703 -4.57502 6.21384
748 1.91093 -5.39214 4.00969
749 1.9836 -5.05285 5.47501
750 2.85731 -5.20374 4.69251
751 -0.192625 -8.41427 11.0979
752 3.15928 -5.16705 4.01083
753 -1.8694 -9.04527 9.09385
754 3.71453 -5.51757 4.95576
755 3.6712 -5.28053 2.22049
756 2.85962 -5.04048 4.9942
757 3.26871 -5.08639 3.86089
758 2.75915 -5.39075 2.48606
759 3.91613 -4.67831 6.06556
